,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
50810,3767,45.48,12.48,25.87,7.13,0.0978,0.5293
50811,3618,32.17,7.86,18.88,5.44,-0.0074,0.1719
50812,4983,36.31,8.16,17.77,10.38,0.0753,0.4139
50813,5086,34.12,8.64,17.28,8.19,-0.0725,0.2946
50814,5501,16.2,2.78,7.02,6.4,-0.1776,0.0311
50815,7160,49.83,15.67,25.92,8.24,0.1827,0.4066
50816,3688,45.0,14.26,26.13,4.61,0.1906,0.3299
50817,4377,36.14,10.09,22.12,3.93,-0.0663,0.0779
50818,3603,34.3,8.11,17.89,8.31,0.104,0.3396
50819,5534,27.09,10.08,13.07,3.94,-0.1228,0.142
50820,9176,24.78,5.55,12.96,6.27,-0.0184,0.0469
50821,4398,30.05,7.54,15.06,7.46,-0.1453,0.3607
50822,7790,34.95,11.29,18.17,5.49,-0.0236,0.3196
50823,1711,38.61,12.17,16.97,9.48,0.1052,0.5323
50824,910,39.59,13.48,22.6,3.5,-0.0513,0.3466
50825,5247,19.13,5.52,6.09,7.52,-0.2493,0.3327
50826,5501,15.4,2.79,6.59,6.02,-0.1776,0.0311
50827,7160,49.11,15.68,25.56,7.86,0.1827,0.4066
50828,3688,44.28,14.26,25.78,4.24,0.1906,0.3299
50829,3767,45.4,11.98,26.32,7.1,0.0978,0.5293
50830,2834,37.21,13.68,15.56,7.97,0.1125,0.4272
50831,5110,25.07,8.68,8.5,7.89,-0.1157,0.1306
50832,9176,24.88,5.54,12.99,6.36,-0.0184,0.0469
50833,4398,30.16,7.52,15.09,7.55,-0.1453,0.3607
50834,7790,35.08,11.28,18.22,5.59,-0.0236,0.3196
50835,3537,28.54,1.17,23.36,4.01,-0.0738,-0.1555
50836,7794,24.43,6.07,9.5,8.86,0.0272,0.3619
50837,7244,27.75,9.47,10.1,8.18,-0.0894,0.6151
50838,5534,27.72,10.44,13.22,4.07,-0.1228,0.142
50839,3603,34.94,8.47,18.04,8.43,0.104,0.3396
50840,4377,36.77,10.45,22.26,4.06,-0.0663,0.0779
50841,1711,38.45,12.33,17.07,9.06,0.1052,0.5323
50842,910,39.43,13.64,22.7,3.09,-0.0513,0.3466
50843,5247,18.98,5.68,6.19,7.1,-0.2493,0.3327
50844,9176,24.95,5.52,12.71,6.71,-0.0184,0.0469
50845,4398,30.22,7.51,14.81,7.9,-0.1453,0.3607
50846,7790,35.12,11.26,17.92,5.94,-0.0236,0.3196
50847,3767,46.06,12.04,26.69,7.33,0.0978,0.5293
