Archimedes Division,,Team Input,,,,,,,,,,,,Statbotics Data,,,,,,,,,
,,,,,,,,,,,,,,Overall,,,Scoring Period,,Scoring Location,,,Game Piece Type,
Team Number (linked to FRC Events),"Team Name
(linked to Statbotics)",Drive Train Type,Robot Weight,Robot Width (with Bumpers),Robot Length (with Bumpers),Game Piece Capability,Game Piece Acquisition,Game Piece Scoring,Center Autonomous Routine,Non-Cable Protector Autonomous Routine,Cable Protector Autonomous Routine,Endgame Assistance,Comments,EPA,Total Pieces,Links,Auto Pieces,Teleop Pieces,Bottom Pieces,Middle Pieces,High Pieces,Cubes Scored,Cones Scored
5045,SpartaBot,Tank,,,,,,,,,,,,8.5,1.5,0,0.3,1.2,1.2,0.1,0.3,0.9,0.7
5232,Talons,Swerve,120,30,33,Cones Only,Double Substation + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 1 + Acquire 1,Score Preloaded + Mobility + Acquire 1,None,,51.8,6.4,1.6,0.7,5.7,0.5,2.5,3.4,0.9,5.5
5635,Demacia,Swerve,,,,,,,,,,,,33,4.6,1,1.2,3.5,1.2,2.4,1,2,2.6
5809,The Jesubots 5809,Swerve,,,,Cones & Cubes,Single Substation Only,All Three Rows,Score Preloaded + Engage,,,None,,31.1,5.5,1.1,0.9,4.6,2.1,0.6,2.8,2.4,3.1
5993,Istech Robotics Society,Tank,,,,,,,,,,,,23.5,3.6,0.7,0.8,2.8,0.9,0.4,2.3,2,1.7
6002,ZooBOTix,Swerve,89,29,33,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Mobility + Acquire 1 + Engage,Score Preloaded + Mobility + Score 2,Score Preloaded + Mobility + Score 1 + Acquire 1,None,,55.2,7.7,2.6,1.5,6.2,3,1.7,3,2.9,4.8
6036,Peninsula Robotics,Swerve,124.9,,,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Engage,Score Preloaded + Mobility + Score 2,Score Preloaded + Mobility + Score 2,None,,69.3,10.3,3.3,1.9,8.4,1.9,3.2,5.2,4.5,5.8
6078,RoboRams,Swerve,,,,Cones & Cubes,Double Substation Only,All Three Rows,Score Preloaded + Engage,Score Preloaded + Mobility + Score 2,Score Preloaded + Mobility,Forks,,42.3,6.7,1.8,0.9,5.7,1.1,2.8,2.8,1.9,4.8
6328,Mechanical Advantage,Swerve,123,31,31,Cones & Cubes,Both Substations + Floor,All Three Rows,Score Preloaded + Mobility + Score 1 + Engage,Score Preloaded + Mobility + Score 2,Score Preloaded + Mobility + Score 2,None,,58.3,8.6,2.2,2.6,6,1,4.4,3.2,2.7,5.9
7174,Charger Robotics,Swerve,115,33,33,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility,Score Preloaded + Mobility,None,,39.8,4.8,1.2,1,3.8,1.9,1.2,1.7,1.8,3.1
7211,Hollywood,Swerve,123.9,32,38,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 1 + Acquire 1,Score Preloaded + Mobility + Acquire 1,None,,52.3,7.4,2.3,1.8,5.6,1.1,3.3,3,2.3,5
7444,Moon Star Robotics,Swerve,,,,,,,,,,,,43.5,5.6,1.3,1,4.5,1.2,0.5,3.9,2.6,3
7563,SESI SENAI MEGAZORD,Tank,,,,,,,,,,,,41.9,4.7,1.3,0.9,3.8,0.3,0.6,3.9,1.4,3.3
8085,MOJO,Swerve,120,24,24,Cones & Cubes,Single Substation + Floor,All Three Rows,Score Preloaded + Mobility + Engage,Score Preloaded + Mobility + Score 1,Score Preloaded + Mobility + Score 1,None,,48.1,7.2,2,1.3,5.9,1.9,2,3.3,2.6,4.6
8159,Golden Horn,Swerve,,,,,,,,,,,,20.2,2.7,0.1,-0.1,2.7,1.3,0.4,0.9,1.7,1
8724,Mayhem,Tank,114,29,29,Cones & Cubes,Double Substation + Floor,All Three Rows,Score Preloaded + Engage,Score Preloaded + Mobility + Score 1 + Acquire 1,Score Preloaded + Mobility + Score 1,None,,44.5,6,1.6,1.3,4.7,0.8,2.3,2.9,2.2,3.8
8729,Sparkling H2O,Tank,,,,,,,,,,,,30.2,3.9,0.6,0.8,3.2,1.7,1.1,1,3,1
9038,SF UNITY,Tank,,,,Cones & Cubes,Double Substation Only,All Three Rows,Score Preloaded Only,Score Preloaded + Mobility,Score Preloaded + Mobility,None,,33.3,4.4,1.2,1,3.4,0.8,-0.1,3.7,1.7,2.7
9059,COLTech Robotics,Tank,,,,,,,,,,,,19.7,2.8,0.2,0.6,2.2,1.4,0.8,0.6,1.1,1.7
9067,The Goonies,Tank,,,,Cones & Cubes,,,,,,None,,27.4,3.5,0.7,0.8,2.7,2.7,0.2,0.5,1.4,2.1
9101,HiveMind Robotics,Tank,,,,Cubes Only,,Hybrid Only,Score Preloaded + Mobility + Engage,,,,,34.2,5.6,1.5,0.7,4.8,4.1,0.5,0.9,5,0.5
9134,Tecmilenio - DEVOLT,Tank,,,,Cones & Cubes,Both Substations + Floor,,Score Preloaded Only,,,,,29,3.6,0.6,1.1,2.5,1.1,0.4,2.1,1.9,1.7
9148,Atlas,Tank,,,,Cones & Cubes,Double Substation + Floor,All Three Rows,,Score Preloaded + Mobility,Score Preloaded + Mobility,None,,9.6,1.7,0,0.1,1.6,0.8,0.3,0.6,1.2,0.5
9180,GHS Robotics - Ursa Major,Tank,,,,Cubes Only,,Hybrid Only,,,,,,24.3,4,0.9,0.9,3.1,3.9,0,0.1,4.5,-0.4
